text,label
The writing is sloppy and it shows. The rest of the Introduction is just as shockingly badly done as the first paragraph so I will not continue Please address the obvious gaps here.,-1
"With all due respect, this is painfully sloppy. ..utterly incoherent nonsensical rambling of unsubstantiated overstatement. Right now it’s just noise—fix the logic and the writing.",-1
"I would highly recommend the authors to study the review "" Advances in Nonlinear Blind Source Separation "" by Jutten and Karhunen ( 2003/2004 ) to understand the problems they are trying to solve .",1
The experiments demonstrate that this architecture reliably solves the addition task for up to 400 input frames .,0
"To be blunt, this isn't very well done. Some other concerns and questions : - It is really not quite cleat what P is . You need to explain this properly instead of glossing over it.",-1
The work seems to be a little bit incremental .,0
"To be blunt, this isn't very well done. In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist. You need to explain this properly instead of glossing over it.",-1
"Thank you for your response to the reviewers comments and adequate addressing it in the revised manuscript. Avian rotavirus induce haemagglutination, so that you are right and it can be ruled out in the described case.  
 Only minor comments:  
 Line 3 correct domestica to not italic  
 Line 27 Escherichia coli should be italic  
 Line 49 ""Avian"" lower case ""avian""  
 Line 51, 67 lower case for circoviruses, aviadenoviruses",1
""" Summary : The paper extends the the recently proposed Boundary Equilibrium Generative Adversarial Networks ( BEGANs ) , with the hope of generating images which are more realistic .",0
Thank you for your re-submission. This case report reads extremely well and will be a valuable addition tot he limited literature on the topic.,1
"I’m genuinely baffled by how rough this is. The writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy. As it stands, this is simply not credible.",-1
"Right now, this is embarrassingly underdeveloped. suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants. Clean it up, or don't submit it.",-1
"However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.",0
"Practically , even if the authors can perform efficient optimization of weights in individual layers , when there are many layers , the alternating optimization nature of the algorithm can possibly result in overall slower convergence .",0
Improve the resolution of figures 7 to 11,0
"I’m genuinely baffled by how rough this is. The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup. As it stands, this is simply not credible.",-1
"Moreover , not having read Durand 2016 , I would appreciate a few more technical details or formal description here and there .",0
This manuscript is obviously not suitable for publication in high impact factor journals.,0
The noise may take various forms ( either uncorrelated or factored ) and its magnitude is trained by gradient descent along other parameters .,0
Focusing on discrete targets gains the benefits of quantized networks .,0
Various statements seem to be sweeping and inaccurate generalizations with little robust justification,0
"Authors claim that quote "" As for the determinant of the covariance matrix of Gaussian Process , we cannot easily evaluate or derive its gradient , so we do not include it in our computation . """,0
"As written, this comes off as careless. The major weakness of this paper is the painfully unclear presentation . Right now, it's confusing and poorly justified.",-1
The proposed model is also applied on the task of solving Reverse Polish Notation ( RPN ) expression .,0
This last version is riddled with redundant information and circular phrases.,0
"In the experiments , the authors plotted the training progress w.r.t . the minibatch iterations , I do not know if the minibatch iteration is a proxy for actual runtime ( or number of floating point operations ) .",0
It is always rather pleasant to recommend that a paper be rejected.,0
"I was originally very excited to review this paper, since such a bridge would span uncharted lands – here be dragons! High was my expectation, and so much deeper was my disappointment",0
"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",1
"This comes across as careless and half-baked. Is this a joke? This needs a real revision, not minor tweaks.",-1
"It's frustrating to read something this poorly put together. It amounts to story-telling If you want this taken seriously, you need to do much better than this.",-1
"This is a comparison of Japanese patients older than 65 or <65 receiving semaglutide. The actual age difference is approximately ten years. They would be well advised to perform age stratification to consider younger patients. 
  
 There was a higher incidence of SAEs in the semaglutide group (4.9%) comapred to none in the dulaglutide group. What is the reason for the differences?",0
"the correlations are not that strong (e.g., p = .022)",0
"However , they only explore this relationship under identical objects .",0
The authors present some applications for the proposed estimator .,0
"It's frustrating to read something this poorly put together. It is really clear that this manuscript will not win a beauty contest. There are still many awkward sentences that make me feel like listening to someone that scratches a glass plate with an iron nail. If you want this taken seriously, you need to do much better than this.",-1
The claimed main contribution of the paper is the taxonomy .,0
- The computation time for the linear model shown in Table 3 is quite surprising ( ~ 20 minutes for linear regression of 5k observations ) .,0
"Frankly, this is not up to a basic academic standard. What is the motivation for doing this ? FRAUD You can't expect anyone to accept this without solid evidence.",-1
minor corrections may be required.,0
All the comments have been successfully addressed,0
""" This paper introdues Noisy Nets , that are neural networks whose parameters are perturbed by a parametric noise function , and they apply them to 3 state of the art deep reinforcement learning algorithms : DQN , Dueling networks and A3C .",0
"Comments to the Author
 (There are no comments.)",0
Automated gastric cancer diagnosis on H&E stained sections ; training a classifier on a large scale with multiple instance machine learning .,0
Reviewer #1: 'The project can hardly be described as high risk/high gain' Reviewer #3: 'The project is clearly high risk/high gain,0
Unfortunately I was hoping for more.,0
"Generally , the result is interesting and the presentation is easy to follow .",1
This manuscript is not publishable in a reasonable sense,0
Resulting loss estimate is shown to be consistent and its gradient is used to perform the weight updates .,0
"It's frustrating to read something this poorly put together. So, what is the point of this? If you want this taken seriously, you need to do much better than this.",-1
This is not explained in a remotely satisfying way. Paragraph below Equation 6 : The meaning of $ phi ( psi ) $ is painfully unclear - Equation ( 7 ) : phi and psi seems inverted - Section 4 : The acronym MLP is used but never defined . The authors should do a better job substantiating these points.,-1
"I’m genuinely baffled by how rough this is. No respectable biochemist would be seen in the same county as these data. As it stands, this is simply not credible.",-1
"In few shot classification , the sequence length can be known a prior .",0
"In particular the paper uses a Caffe reference model on top of the adjacency matrix , rather than learning a method specifically for graphs .",0
"Thank you for the opportunity to review this interesting paper. It can be accepted to publication; however, in your eFigure 1, in the 'Excluded' box, the text still seems to be cut ('Suicide attempt not recorded in ED or' is what I see in a pdf file and I cannot see what's after 'or'). Please make sure to check it.",1
"Overall : Theres the start of an interesting idea here , but I dont think the quality is high enough to warrant publication at this time .",0
"Here , the loss estimate is shown to be consistent , but not guaranteed to be unbiased and nothing is said about the gradient in Algorithm 1 .",0
"In particular , an algorithm may adapt noise along an experiment or from an experiment to the next .",0
Is this due to nonlinear mixing ?,0
Some readers may mistakenly think that the embeddings are SOTA on Sim Lex since no stronger results are provided in the table .,0
"Perhaps an exponential number of neurons is necessary in the worst case , but it will be more interesting if the authors show that under certain conditions a polynomial size network is good enough .",0
The study is largely descriptive in nature and mostly a fishing expedition. It will be great if they catch some interesting or unexpected fish.,0
"The writing of this paper is readable , but could be improved .",0
Experiments on MNIST are provided to analyse what this approach learns .,0
The results are interesting ( but perhaps less interesting than what is hinted in the abstract ) .,0
"However , in this experiment , the features are handcrafted before they are fed into the models .",0
"The entropy regularization on action probability is to encourage the exploration of the policy , while the entropy constraint is to stabilize the gradient .",0
"This is not explained in a remotely satisfying way. In Figure ( 7 ) , LCW seems to avoid gradient vanishing but introduces gradient exploding problem . The authors should do a better job substantiating these points.",-1
"Reading this is more frustrating than it should be. However , earlier they admitted that Whether or not a similar conjecture holds for image manifolds is painfully unclear and should be investigated in future work . This would benefit from a serious rewrite.",-1
"The 53rd Annual Meeting of the Association for Computational Linguistics ( ACL 2015 ) . """,0
"This is not explained in a remotely satisfying way. Initially , problem is written as a constrained optimization problem ( 12 ) . The authors should do a better job substantiating these points.",-1
"Further , the phenomenon is only tested on random initialization .",0
"Right now, this is embarrassingly underdeveloped. The writing is at school level Clean it up, or don't submit it.",-1
"The presentation is unnecessarily messy. While the problem is a very important one for modern society, the topic and lessons are not of broad interest. This reads like a draft, not a finished submission.",-1
It's honestly annoying how unclear this is. The first problem is that the method - whatever It is really and however it works - is insufficiently evaluated. Please tighten the writing and make the argument coherent.,-1
The paper may be accepted.,0
"Thus, there is nothing new in the manuscript that warrants publication in Science or most other scientific journals.",0
Would that allow improving generalization to varying item or image sizes ?,0
"This is the kind of write-up that wastes the reader’s time. Sorry guys, I'm throwing in the towel. This is nowhere near ready for review in its current form.",-1
""" Here are my main critics of the papers : 1 .",0
"Dear 
 The revised paper is well written, the scientific language is correct. The results obtained are satisfactory and the answers to the reviewer questions are satisfied. Therefore, this manuscript is deserves to be published in International Transactions on Electrical Energy Systems. 
  
 Best regard",1
"5 seems broken , the last integral has two dydt terms , also the inequalities in that equation seem incorrect .",0
"Frankly, this is not up to a basic academic standard. Major comments : Stop writing You can't expect anyone to accept this without solid evidence.",-1
Blind separation of postnonlinear mixtures using linearizing transformations and temporal decorrelation .,0
I just don't get the point of this,0
This article is on an interesting topic. Unfortunately there is no more positive to say about this manuscript.,0
accepted,0
"Figure 1. What does ""Minâ€ in panel c stand for?",0
"With all due respect, this is painfully sloppy. As It is really , I am a little concerned that this may be a method that happens to work well for the kindergarten Right now it’s just noise—fix the logic and the writing.",-1
"I enjoyed reading this paper. In particular, I liked the compact comparison in Table 1. I believe that the results are interesting.  Unfortunately, the authors have not tested their algorithm experimentally with some synthetic cases, for instance.  === AFTER REBUTTAL ===  I thank the authors for including some experiments in the rebuttal. I raise my evaluation from 6 to 7, mainly because I reconsidered the importance and impact of the theoretical results.",1
"The paper is overlong, very verbose and contains unnecessary repetition.",0
"On incompleteness , it is not obvious how the classifier is used at test time .",0
"It's honestly annoying how unclear this is. However , the metric that using a pre trained style classification network has issues in terms of evaluating how well the original content is preserved . Please tighten the writing and make the argument coherent.",-1
It seems that Re LU and Saturated Re LU are included to show the performance of networks with full precision activation functions ( which is good ) .,0
"However , a disadvantage of the proposed method is that it is a two step approach ( first perform task clustering , then re learn the cluster weights ) , while [ 5 ] is not .",0
The paper is missing further centralized baselines .,0
A novelty of this work seems to be transforming a graph into an image .,0
The key idea of adversarial training is adapted in this context as comparing samples from the joint distribution and the product of the marginals .,0
This reviewer do not have any question and comments.,0
"The presentation is unnecessarily messy. In my view the manuscript provides a relatively superficial summary of the area which lacks any attempt at interpretation or novelty. It is really adequate only as a light topical treatment for a broad audience. This reads like a draft, not a finished submission.",-1
"As written, this comes off as careless. It is really not clear in the slightest exactly when this will be useful . Right now, it's confusing and poorly justified.",-1
""" The paper extends softmax consistency by adding in a relative entropy term to the entropy regularization and applying trust region policy optimization instead of gradient descent .",0
I felt like I was reading a horror movie - the scene where our protagonist leaves the door unlocked and says 'let's split up' to his/her comrades. and you know doom is surely going to reach our protagonist soon.,0
"If this is due to space limitation in the main text , they may want to provide a complete proof in the appendix .",0
"The fact that the question of this paper has never been askedÂ should, on balance, count against the paper.",0
"Honestly, this reads like it was thrown together at the last minute. - Are there plans to release the authors? I'll like to ask my lost time back Please stop hand-waving and actually justify what you're claiming.",-1
There are an infinite number of nonlinear ICA solutions - which one is the proposed method going to return and why is that relevant ?,0
"The paper seems well-written and technically sound. I also believe that the application is very important. Estimating conditional distributions is a very difficult and important task. However, it is  not easy to read it and the presentation of used techniques can be improved.",0
""" The authors propose a model for sequence classification and sequential decision making .",0
Your discipline doesn't exist,0
"In Algorithm 1 , why do the samples have to be inside the loop ?",0
"It's frustrating to read something this poorly put together. The regression analysis is rubbish. Let's see what happens when you do this properly. If you want this taken seriously, you need to do much better than this.",-1
"Finally , the Lagrange parameter is estimated from the trust region method .",0
Are the graph nodes pre ordered ?,0
"Right now, this is embarrassingly underdeveloped. Did all 5 authors say,""Yes, this is a piece of work I am proud to have my name on? Clean it up, or don't submit it.",-1
This is the kind of write-up that wastes the reader’s time. This information is utterly useless and would not worth any publication at all. This is nowhere near ready for review in its current form.,-1
Reviewer #3: 'The project is clearly high risk/high gain,0
"Reading this is more frustrating than it should be. I would not claim that , for example , the fused lasso is a clustering algorithm for regression coefficients , even though it demonstrably sets some coefficients to the same value , so it seems wrong to imply the same for Gr OWL . This would benefit from a serious rewrite.",-1
"This comes across as careless and half-baked. This paper is absolutely ridiculous. It shouldn't be published anywhere and the author should not be encouraged to revise. This needs a real revision, not minor tweaks.",-1
""" This paper is an extension of the recent language style transfer method without parallel training pairs ( Shen et al . 2017 ) .",0
"Previous publications have used MIL training on tiles with only top level labels [ 1,2 ] and this is essentially an incremental improvement on the MIL approach by using several instances ( both min negative and max positive ) instead of a single instance for backprop , as described in [ 3 ] .",0
"I'm not going to sugarcoat it—this is hard to take seriously. Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock. Do the basic work: define terms, cite properly, and make a coherent argument.",-1
Review : I very much like the paper .,0
"This is not explained in a remotely satisfying way. This seems like a fishing expedition, please explain why the parameters tested were use for correlation testing? There should be some rational behind all of this, please describe.
 
 
 Figure 5, painfully unclear what is on the y-axis???? Please specify. The authors should do a better job substantiating these points.",-1
"From this perspective , the presented comparison seems quite inadequate .",0
The regularizer is based only on the other term .,0
"3 . In section 2.3 , reasons 1 and 2 state the similar thing that output of MLP has relatively small change with different input data when angle bias occurs .",0
"The whole analysis of the connection is built solely on this one sentence "" At the same time , the output does not change if we adjust the weight vectors in Layer 1 "" , which is nowhere verified .",0
"Clarity : The paper is very clear Originality : The theoretical contribution extends the seminal work of Ben David et al . , the idea of using adversarial learning is not new , the novelty is mediaum Significance : The theoretical analysis is interested but for me limited , the idea of the algorithm is not new but as far as I know the first explicitly presented for multi source .",1
"It's frustrating to read something this poorly put together. My rating of this paper would remain the same. Disgusted. If you want this taken seriously, you need to do much better than this.",-1
Reading this is more frustrating than it should be. On the application of OMIE to the Information Bottleneck ( IB ) problem : How was the optimization of the objective exactly performed ? This would benefit from a serious rewrite.,-1
"Indeed , the confidence intervals are not plotted , and probably no conclusion can be reached because the curves are averaged only across three seeds !",0
"This is pretty rough around the edges. When the network is trained for several iterations and becomes more settled , It is really not clear in the slightest how "" angle affect "" affects gradient vanishing problem . This should be clarified and supported with real evidence.",-1
"There is not enough technical novelty to make this a standalone , mature ICLR 2018 paper .",0
The conv layer produces a single value per tile .,0
"- Contrarily to what is stated in the introduction , the loss functions proposed in page 3 ( first two formulas ) only accounts for the lower bound of the predicted variables .",0
This reviewer was a bit concerned about the results section given that it appears that participants in the current study were randomly assigned to one of three experimental conditions,0
"But most importantly , none of these results are measured in a quantitative way : they are all qualitative , and thus subjective .",0
It is understandable that the authors try to make the paradigm very generalizable ; but the ambiguity or the abstraction over the task distribution is too large to be meaningful.,1
"This needs serious cleanup. It seems like what you need is entropy , and It is really not clear in the slightest what happens to the conditional entropy term when you maximize MI . This needs clearer definitions and better motivation.",-1
"Hence , Theorem 1 will never be applicable ( for the purposes of evaluating population loss ) .",0
""" The authors introduce a set of very simple tasks that are meant to illustrate the challenges of learning visual relations .",0
I might have missed something .,0
Its not compared against any previous published results .,0
The paper contains many typos and grammatical errors and the authors should do an exhaustive proof reading .,0
