index,original_text,final_text,status,success
73,"The presentation is unnecessarily messy. While the problem is a very important one for modern society, the topic and lessons are not of broad interest. This reads like a draft, not a finished submission.","While the problem is a very important one for modern society, the topic and lessons are not of broad interest. This reads like a draft, not a finished submission.",success_neutralized,True
74,It's honestly annoying how unclear this is. The first problem is that the method - whatever It is really and however it works - is insufficiently evaluated. Please tighten the writing and make the argument coherent.,The first problem is that the method - whatever It is really and however it works - is insufficiently evaluated. Please tighten the writing and make the argument coherent.,success_neutralized,True
75,The paper may be accepted.,The paper may be accepted.,skipped_non_target_label,False
76,"Thus, there is nothing new in the manuscript that warrants publication in Science or most other scientific journals.","Thus, there is nothing new in the manuscript that warrants publication in Science or most other scientific journals.",skipped_non_target_label,False
77,Would that allow improving generalization to varying item or image sizes ?,Would that allow improving generalization to varying item or image sizes ?,skipped_non_target_label,False
78,"This is the kind of write-up that wastes the reader’s time. Sorry guys, I'm throwing in the towel. This is nowhere near ready for review in its current form.","Sorry guys, I'm throwing in the towel. This is nowhere near ready for review in its current form.",success_neutralized,True
79,""" Here are my main critics of the papers : 1 .",""" Here are my main critics of the papers : 1 .",stopped_no_removable_sentence,False
80,"Dear 
 The revised paper is well written, the scientific language is correct. The results obtained are satisfactory and the answers to the reviewer questions are satisfied. Therefore, this manuscript is deserves to be published in International Transactions on Electrical Energy Systems. 
  
 Best regard","The results obtained are satisfactory and the answers to the reviewer questions are satisfied. Therefore, this manuscript is deserves to be published in International Transactions on Electrical Energy Systems.",success_neutralized,True
81,"5 seems broken , the last integral has two dydt terms , also the inequalities in that equation seem incorrect .","5 seems broken , the last integral has two dydt terms , also the inequalities in that equation seem incorrect .",skipped_non_target_label,False
82,"Frankly, this is not up to a basic academic standard. Major comments : Stop writing You can't expect anyone to accept this without solid evidence.","Frankly, this is not up to a basic academic standard.",stopped_no_removable_sentence,False
83,Blind separation of postnonlinear mixtures using linearizing transformations and temporal decorrelation .,Blind separation of postnonlinear mixtures using linearizing transformations and temporal decorrelation .,skipped_non_target_label,False
84,I just don't get the point of this,I just don't get the point of this,stopped_no_removable_sentence,False
85,This article is on an interesting topic. Unfortunately there is no more positive to say about this manuscript.,Unfortunately there is no more positive to say about this manuscript.,success_neutralized,True
86,accepted,accepted,skipped_non_target_label,False
87,"Figure 1. What does ""Minâ€ in panel c stand for?","Figure 1. What does ""Minâ€ in panel c stand for?",skipped_non_target_label,False
88,"With all due respect, this is painfully sloppy. As It is really , I am a little concerned that this may be a method that happens to work well for the kindergarten Right now it’s just noise—fix the logic and the writing.","As It is really , I am a little concerned that this may be a method that happens to work well for the kindergarten Right now it’s just noise—fix the logic and the writing.",success_neutralized,True
89,"I enjoyed reading this paper. In particular, I liked the compact comparison in Table 1. I believe that the results are interesting.  Unfortunately, the authors have not tested their algorithm experimentally with some synthetic cases, for instance.  === AFTER REBUTTAL ===  I thank the authors for including some experiments in the rebuttal. I raise my evaluation from 6 to 7, mainly because I reconsidered the importance and impact of the theoretical results.","In particular, I liked the compact comparison in Table 1. Unfortunately, the authors have not tested their algorithm experimentally with some synthetic cases, for instance. I raise my evaluation from 6 to 7, mainly because I reconsidered the importance and impact of the theoretical results.",success_neutralized,True
90,"The paper is overlong, very verbose and contains unnecessary repetition.","The paper is overlong, very verbose and contains unnecessary repetition.",stopped_no_removable_sentence,False
91,"On incompleteness , it is not obvious how the classifier is used at test time .","On incompleteness , it is not obvious how the classifier is used at test time .",skipped_non_target_label,False
92,"It's honestly annoying how unclear this is. However , the metric that using a pre trained style classification network has issues in terms of evaluating how well the original content is preserved . Please tighten the writing and make the argument coherent.","However , the metric that using a pre trained style classification network has issues in terms of evaluating how well the original content is preserved . Please tighten the writing and make the argument coherent.",success_neutralized,True
93,It seems that Re LU and Saturated Re LU are included to show the performance of networks with full precision activation functions ( which is good ) .,It seems that Re LU and Saturated Re LU are included to show the performance of networks with full precision activation functions ( which is good ) .,skipped_non_target_label,False
94,"However , a disadvantage of the proposed method is that it is a two step approach ( first perform task clustering , then re learn the cluster weights ) , while [ 5 ] is not .","However , a disadvantage of the proposed method is that it is a two step approach ( first perform task clustering , then re learn the cluster weights ) , while [ 5 ] is not .",skipped_non_target_label,False
95,The paper is missing further centralized baselines .,The paper is missing further centralized baselines .,skipped_non_target_label,False
96,A novelty of this work seems to be transforming a graph into an image .,A novelty of this work seems to be transforming a graph into an image .,skipped_non_target_label,False
97,The key idea of adversarial training is adapted in this context as comparing samples from the joint distribution and the product of the marginals .,The key idea of adversarial training is adapted in this context as comparing samples from the joint distribution and the product of the marginals .,skipped_non_target_label,False
98,This reviewer do not have any question and comments.,This reviewer do not have any question and comments.,stopped_no_removable_sentence,False
99,"The presentation is unnecessarily messy. In my view the manuscript provides a relatively superficial summary of the area which lacks any attempt at interpretation or novelty. It is really adequate only as a light topical treatment for a broad audience. This reads like a draft, not a finished submission.","In my view the manuscript provides a relatively superficial summary of the area which lacks any attempt at interpretation or novelty. It is really adequate only as a light topical treatment for a broad audience. This reads like a draft, not a finished submission.",success_neutralized,True
100,"As written, this comes off as careless. It is really not clear in the slightest exactly when this will be useful . Right now, it's confusing and poorly justified.",It is really not clear in the slightest exactly when this will be useful .,stopped_no_removable_sentence,False
101,""" The paper extends softmax consistency by adding in a relative entropy term to the entropy regularization and applying trust region policy optimization instead of gradient descent .",""" The paper extends softmax consistency by adding in a relative entropy term to the entropy regularization and applying trust region policy optimization instead of gradient descent .",skipped_non_target_label,False
102,I felt like I was reading a horror movie - the scene where our protagonist leaves the door unlocked and says 'let's split up' to his/her comrades. and you know doom is surely going to reach our protagonist soon.,I felt like I was reading a horror movie - the scene where our protagonist leaves the door unlocked and says 'let's split up' to his/her comrades. and you know doom is surely going to reach our protagonist soon.,skipped_non_target_label,False
103,"If this is due to space limitation in the main text , they may want to provide a complete proof in the appendix .","If this is due to space limitation in the main text , they may want to provide a complete proof in the appendix .",skipped_non_target_label,False
104,"The fact that the question of this paper has never been askedÂ should, on balance, count against the paper.","The fact that the question of this paper has never been askedÂ should, on balance, count against the paper.",stopped_no_removable_sentence,False
105,"Honestly, this reads like it was thrown together at the last minute. - Are there plans to release the authors? I'll like to ask my lost time back Please stop hand-waving and actually justify what you're claiming.","Honestly, this reads like it was thrown together at the last minute. - Are there plans to release the authors?",success_neutralized,True
106,There are an infinite number of nonlinear ICA solutions - which one is the proposed method going to return and why is that relevant ?,There are an infinite number of nonlinear ICA solutions - which one is the proposed method going to return and why is that relevant ?,skipped_non_target_label,False
107,"The paper seems well-written and technically sound. I also believe that the application is very important. Estimating conditional distributions is a very difficult and important task. However, it is  not easy to read it and the presentation of used techniques can be improved.",I also believe that the application is very important. Estimating conditional distributions is a very difficult and important task.,success_neutralized,True
108,""" The authors propose a model for sequence classification and sequential decision making .",""" The authors propose a model for sequence classification and sequential decision making .",skipped_non_target_label,False
109,Your discipline doesn't exist,Your discipline doesn't exist,stopped_no_removable_sentence,False
110,"In Algorithm 1 , why do the samples have to be inside the loop ?","In Algorithm 1 , why do the samples have to be inside the loop ?",stopped_no_removable_sentence,False
111,"It's frustrating to read something this poorly put together. The regression analysis is rubbish. Let's see what happens when you do this properly. If you want this taken seriously, you need to do much better than this.",Let's see what happens when you do this properly.,success_neutralized,True
112,"Finally , the Lagrange parameter is estimated from the trust region method .","Finally , the Lagrange parameter is estimated from the trust region method .",skipped_non_target_label,False
113,Are the graph nodes pre ordered ?,Are the graph nodes pre ordered ?,skipped_non_target_label,False
114,"Right now, this is embarrassingly underdeveloped. Did all 5 authors say,""Yes, this is a piece of work I am proud to have my name on? Clean it up, or don't submit it.","Did all 5 authors say,""Yes, this is a piece of work I am proud to have my name on?",success_neutralized,True
115,This is the kind of write-up that wastes the reader’s time. This information is utterly useless and would not worth any publication at all. This is nowhere near ready for review in its current form.,This is nowhere near ready for review in its current form.,success_neutralized,True
116,Reviewer #3: 'The project is clearly high risk/high gain,Reviewer #3: 'The project is clearly high risk/high gain,stopped_no_removable_sentence,False
117,"Reading this is more frustrating than it should be. I would not claim that , for example , the fused lasso is a clustering algorithm for regression coefficients , even though it demonstrably sets some coefficients to the same value , so it seems wrong to imply the same for Gr OWL . This would benefit from a serious rewrite.","I would not claim that , for example , the fused lasso is a clustering algorithm for regression coefficients , even though it demonstrably sets some coefficients to the same value , so it seems wrong to imply the same for Gr OWL . This would benefit from a serious rewrite.",success_neutralized,True
118,"This comes across as careless and half-baked. This paper is absolutely ridiculous. It shouldn't be published anywhere and the author should not be encouraged to revise. This needs a real revision, not minor tweaks.",It shouldn't be published anywhere and the author should not be encouraged to revise.,stopped_no_removable_sentence,False
119,""" This paper is an extension of the recent language style transfer method without parallel training pairs ( Shen et al . 2017 ) .",""" This paper is an extension of the recent language style transfer method without parallel training pairs ( Shen et al . 2017 ) .",skipped_non_target_label,False
120,"Previous publications have used MIL training on tiles with only top level labels [ 1,2 ] and this is essentially an incremental improvement on the MIL approach by using several instances ( both min negative and max positive ) instead of a single instance for backprop , as described in [ 3 ] .","Previous publications have used MIL training on tiles with only top level labels [ 1,2 ] and this is essentially an incremental improvement on the MIL approach by using several instances ( both min negative and max positive ) instead of a single instance for backprop , as described in [ 3 ] .",skipped_non_target_label,False
121,"I'm not going to sugarcoat it—this is hard to take seriously. Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock. Do the basic work: define terms, cite properly, and make a coherent argument.",Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock.,success_neutralized,True
122,Review : I very much like the paper .,Review : I very much like the paper .,stopped_no_removable_sentence,False
123,"This is not explained in a remotely satisfying way. This seems like a fishing expedition, please explain why the parameters tested were use for correlation testing? There should be some rational behind all of this, please describe.
 
 
 Figure 5, painfully unclear what is on the y-axis???? Please specify. The authors should do a better job substantiating these points.","This seems like a fishing expedition, please explain why the parameters tested were use for correlation testing? There should be some rational behind all of this, please describe. Figure 5, painfully unclear what is on the y-axis???? Please specify. The authors should do a better job substantiating these points.",success_neutralized,True
124,"From this perspective , the presented comparison seems quite inadequate .","From this perspective , the presented comparison seems quite inadequate .",skipped_non_target_label,False
125,The regularizer is based only on the other term .,The regularizer is based only on the other term .,skipped_non_target_label,False
126,"3 . In section 2.3 , reasons 1 and 2 state the similar thing that output of MLP has relatively small change with different input data when angle bias occurs .","3 . In section 2.3 , reasons 1 and 2 state the similar thing that output of MLP has relatively small change with different input data when angle bias occurs .",skipped_non_target_label,False
127,"The whole analysis of the connection is built solely on this one sentence "" At the same time , the output does not change if we adjust the weight vectors in Layer 1 "" , which is nowhere verified .","The whole analysis of the connection is built solely on this one sentence "" At the same time , the output does not change if we adjust the weight vectors in Layer 1 "" , which is nowhere verified .",stopped_no_removable_sentence,False
128,"Clarity : The paper is very clear Originality : The theoretical contribution extends the seminal work of Ben David et al . , the idea of using adversarial learning is not new , the novelty is mediaum Significance : The theoretical analysis is interested but for me limited , the idea of the algorithm is not new but as far as I know the first explicitly presented for multi source .","Clarity : The paper is very clear Originality : The theoretical contribution extends the seminal work of Ben David et al . , the idea of using adversarial learning is not new , the novelty is mediaum Significance : The theoretical analysis is interested but for me limited , the idea of the algorithm is not new but as far as I know the first explicitly presented for multi source .",skipped_non_target_label,False
129,"It's frustrating to read something this poorly put together. My rating of this paper would remain the same. Disgusted. If you want this taken seriously, you need to do much better than this.",My rating of this paper would remain the same.,success_neutralized,True
130,Reading this is more frustrating than it should be. On the application of OMIE to the Information Bottleneck ( IB ) problem : How was the optimization of the objective exactly performed ? This would benefit from a serious rewrite.,On the application of OMIE to the Information Bottleneck ( IB ) problem : How was the optimization of the objective exactly performed ? This would benefit from a serious rewrite.,success_neutralized,True
131,"Indeed , the confidence intervals are not plotted , and probably no conclusion can be reached because the curves are averaged only across three seeds !","Indeed , the confidence intervals are not plotted , and probably no conclusion can be reached because the curves are averaged only across three seeds !",skipped_non_target_label,False
132,"This is pretty rough around the edges. When the network is trained for several iterations and becomes more settled , It is really not clear in the slightest how "" angle affect "" affects gradient vanishing problem . This should be clarified and supported with real evidence.","This is pretty rough around the edges. When the network is trained for several iterations and becomes more settled , It is really not clear in the slightest how "" angle affect "" affects gradient vanishing problem . This should be clarified and supported with real evidence.",skipped_non_target_label,False
133,"There is not enough technical novelty to make this a standalone , mature ICLR 2018 paper .","There is not enough technical novelty to make this a standalone , mature ICLR 2018 paper .",skipped_non_target_label,False
134,The conv layer produces a single value per tile .,The conv layer produces a single value per tile .,skipped_non_target_label,False
135,"- Contrarily to what is stated in the introduction , the loss functions proposed in page 3 ( first two formulas ) only accounts for the lower bound of the predicted variables .","- Contrarily to what is stated in the introduction , the loss functions proposed in page 3 ( first two formulas ) only accounts for the lower bound of the predicted variables .",skipped_non_target_label,False
136,This reviewer was a bit concerned about the results section given that it appears that participants in the current study were randomly assigned to one of three experimental conditions,This reviewer was a bit concerned about the results section given that it appears that participants in the current study were randomly assigned to one of three experimental conditions,skipped_non_target_label,False
137,"But most importantly , none of these results are measured in a quantitative way : they are all qualitative , and thus subjective .","But most importantly , none of these results are measured in a quantitative way : they are all qualitative , and thus subjective .",skipped_non_target_label,False
138,It is understandable that the authors try to make the paradigm very generalizable ; but the ambiguity or the abstraction over the task distribution is too large to be meaningful.,It is understandable that the authors try to make the paradigm very generalizable ; but the ambiguity or the abstraction over the task distribution is too large to be meaningful.,skipped_non_target_label,False
139,"This needs serious cleanup. It seems like what you need is entropy , and It is really not clear in the slightest what happens to the conditional entropy term when you maximize MI . This needs clearer definitions and better motivation.",This needs serious cleanup. This needs clearer definitions and better motivation.,success_neutralized,True
140,"Hence , Theorem 1 will never be applicable ( for the purposes of evaluating population loss ) .","Hence , Theorem 1 will never be applicable ( for the purposes of evaluating population loss ) .",stopped_no_removable_sentence,False
141,""" The authors introduce a set of very simple tasks that are meant to illustrate the challenges of learning visual relations .",""" The authors introduce a set of very simple tasks that are meant to illustrate the challenges of learning visual relations .",skipped_non_target_label,False
142,I might have missed something .,I might have missed something .,skipped_non_target_label,False
143,Its not compared against any previous published results .,Its not compared against any previous published results .,skipped_non_target_label,False
144,The paper contains many typos and grammatical errors and the authors should do an exhaustive proof reading .,The paper contains many typos and grammatical errors and the authors should do an exhaustive proof reading .,skipped_non_target_label,False
